Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class
X360,Racing,Activision,"0,29",0,0,"0,02","0,3",E,Aceptable
PC,Role-Playing,Electronic Arts,"0,14","0,13",0,"0,03","0,3",M,Excelente
GC,Racing,Acclaim Entertainment,"0,23","0,06",0,"0,01","0,3",E,Bueno
PS2,Action,Capcom,"0,15","0,12",0,"0,04","0,3",T,Aceptable
GBA,Adventure,Global Star,"0,22","0,08",0,"0,01","0,3",E,Malo
PS2,Adventure,Sony Computer Entertainment,"0,15","0,12",0,"0,04","0,3",E10+,Aceptable
PS2,Adventure,Sony Computer Entertainment,"0,15","0,12",0,"0,04","0,3",M,Aceptable
PS3,Fighting,Rising Star Games,"0,17","0,06","0,04","0,03","0,3",T,Bueno
3DS,Action,Ubisoft,"0,14","0,07","0,07","0,02","0,3",T,Malo
X360,Role-Playing,Banpresto,"0,13","0,07","0,07","0,02","0,3",T,Aceptable
PS2,Strategy,Tecmo Koei,"0,05","0,04","0,19","0,01","0,3",E,Bueno
X360,Racing,Codemasters,"0,01","0,27",0,"0,02","0,3",E,Bueno
GBA,Racing,THQ,"0,21","0,08",0,"0,01","0,3",E,Malo
X360,Fighting,Ubisoft,"0,18","0,09",0,"0,03","0,3",E10+,Aceptable
PS2,Platform,Ubisoft,"0,15","0,11",0,"0,04","0,3",E,Excelente
PSV,Sports,Electronic Arts,"0,28",0,0,"0,02","0,3",E,Aceptable
PS,Action,3DO,"0,17","0,11",0,"0,02","0,3",T,Bueno
GC,Sports,Electronic Arts,"0,23","0,06",0,"0,01","0,3",E,Excelente
PS3,Shooter,Midway Games,"0,24","0,02",0,"0,03","0,3",M,Bueno
PS2,Fighting,THQ,"0,15","0,11",0,"0,04","0,3",M,Bueno
PSV,Role-Playing,Namco Bandai Games,0,0,"0,3",0,"0,3",T,Aceptable
Wii,Action,Capcom,"0,16","0,04","0,08","0,02","0,3",M,Bueno
PS2,Role-Playing,Ubisoft,"0,1","0,07","0,1","0,03","0,3",T,Aceptable
PSP,Action,Konami Digital Entertainment,"0,09","0,13","0,01","0,07","0,3",M,Bueno
PS4,Misc,Sony Computer Entertainment,"0,09","0,15","0,02","0,04","0,3",M,Malo
X360,Action,Tecmo Koei,"0,15","0,06","0,06","0,02","0,3",T,Aceptable
PS4,Sports,Konami Digital Entertainment,0,"0,22","0,05","0,04","0,3",E,Bueno
PSP,Platform,Activision,"0,01","0,23",0,"0,06","0,3",T,Malo
X360,Simulation,Konami Digital Entertainment,"0,28",0,0,"0,02","0,3",E,Aceptable
PS4,Sports,Ubisoft,"0,07","0,18",0,"0,05","0,3",T,Bueno
X360,Misc,Konami Digital Entertainment,"0,25","0,02",0,"0,02","0,3",T,Bueno
PS2,Fighting,Acclaim Entertainment,"0,15","0,11",0,"0,04","0,3",T,Malo
PS2,Strategy,THQ,"0,15","0,11",0,"0,04","0,3",M,Bueno
PS2,Simulation,Electronic Arts,"0,02","0,01",0,"0,27","0,3",T,Aceptable
PC,Shooter,Take-Two Interactive,"0,12","0,15",0,"0,02","0,3",M,Bueno
PS3,Fighting,Tecmo Koei,0,0,"0,3",0,"0,3",M,Malo
PS2,Sports,Midway Games,"0,14","0,11",0,"0,04","0,3",T,Bueno
PC,Simulation,Deep Silver,0,"0,25",0,"0,04","0,3",E10+,Bueno
PSP,Misc,Capcom,"0,27",0,0,"0,02","0,3",T,Bueno
X,Action,Konami Digital Entertainment,"0,22","0,06",0,"0,01","0,3",E,Malo
PSV,Platform,Sony Computer Entertainment,"0,14","0,12",0,"0,04","0,3",E10+,Malo
DS,Action,Activision,"0,26","0,02",0,"0,02","0,3",E,Aceptable
PS3,Action,Sony Computer Entertainment,"0,14","0,11",0,"0,05","0,29",E10+,Aceptable
DS,Role-Playing,Atlus,"0,19",0,"0,09","0,01","0,29",E10+,Excelente
Wii,Sports,Ubisoft,"0,24","0,03",0,"0,02","0,29",E,Bueno
X360,Action,Electronic Arts,"0,24","0,03",0,"0,02","0,29",E10+,Aceptable
PS2,Role-Playing,Ubisoft,"0,14","0,11",0,"0,04","0,29",T,Bueno
X360,Action,Activision,"0,26","0,01",0,"0,02","0,29",E10+,Aceptable
X360,Misc,Activision,"0,16","0,1",0,"0,03","0,29",T,Malo
PC,Simulation,Electronic Arts,"0,02","0,24",0,"0,04","0,29",T,Excelente
DS,Action,Warner Bros. Interactive Entertainment,"0,23","0,04",0,"0,02","0,29",E10+,Bueno
GBA,Racing,Electronic Arts,"0,21","0,08",0,"0,01","0,29",E,Bueno
X,Sports,TDK Mediactive,"0,22","0,06",0,"0,01","0,29",T,Bueno
Wii,Action,Electronic Arts,"0,16","0,1",0,"0,03","0,29",E10+,Aceptable
X360,Action,Eidos Interactive,"0,12","0,14",0,"0,03","0,29",E10+,Bueno
GC,Sports,Electronic Arts,"0,23","0,06",0,"0,01","0,29",E,Excelente
PS2,Shooter,Midas Interactive Entertainment,"0,14","0,11",0,"0,04","0,29",T,Aceptable
PSP,Shooter,Sony Computer Entertainment,"0,26","0,01",0,"0,03","0,29",M,Excelente
DS,Role-Playing,Nintendo,"0,19",0,"0,08","0,01","0,29",E10+,Aceptable
X360,Action,THQ,"0,2","0,07",0,"0,03","0,29",E10+,Aceptable
PSV,Racing,Sony Computer Entertainment,"0,15","0,09",0,"0,04","0,29",E,Aceptable
Wii,Sports,Namco Bandai Games,"0,1","0,16",0,"0,03","0,29",E,Aceptable
X360,Sports,Electronic Arts,"0,27",0,0,"0,02","0,29",E,Aceptable
PC,Racing,Electronic Arts,"0,02","0,23",0,"0,04","0,29",T,Excelente
PSV,Fighting,Capcom,"0,17","0,08",0,"0,04","0,29",T,Excelente
PS3,Shooter,Square Enix,"0,09","0,06","0,11","0,03","0,29",T,Malo
Wii,Strategy,Rising Star Games,"0,14","0,1","0,02","0,02","0,29",T,Excelente
PS3,Action,Tecmo Koei,"0,11","0,07","0,07","0,03","0,29",T,Aceptable
DS,Strategy,THQ,"0,24","0,03",0,"0,02","0,29",E,Aceptable
X360,Role-Playing,Square Enix,"0,13","0,1","0,04","0,02","0,29",M,Aceptable
XOne,Racing,Slightly Mad Studios,"0,13","0,13",0,"0,02","0,29",E,Excelente
X,Shooter,Midway Games,"0,22","0,06",0,"0,01","0,29",M,Bueno
3DS,Action,Electronic Arts,"0,06","0,2",0,"0,03","0,29",E,Aceptable
PS3,Shooter,Warner Bros. Interactive Entertainment,"0,14","0,1","0,01","0,04","0,29",M,Aceptable
X360,Shooter,Atari,"0,16","0,1",0,"0,03","0,29",M,Excelente
PS2,Platform,Capcom,"0,14","0,11",0,"0,04","0,29",E,Aceptable
PS2,Racing,Take-Two Interactive,"0,14","0,11",0,"0,04","0,29",E,Malo
PSP,Racing,Empire Interactive,"0,13","0,1",0,"0,06","0,29",T,Bueno
GBA,Misc,Atari,"0,21","0,08",0,"0,01","0,29",E,Aceptable
Wii,Simulation,Rising Star Games,"0,23","0,03",0,"0,02","0,29",E,Aceptable
PSP,Role-Playing,Activision,"0,25","0,01",0,"0,02","0,29",T,Excelente
DS,Adventure,Nintendo,"0,15","0,01","0,12","0,01","0,29",T,Aceptable
Wii,Action,Ubisoft,"0,24","0,02",0,"0,02","0,29",T,Aceptable
PS2,Simulation,Codemasters,"0,14","0,11",0,"0,04","0,29",T,Bueno
GC,Role-Playing,Electronic Arts,"0,22","0,06",0,"0,01","0,29",T,Bueno
Wii,Simulation,Nintendo,"0,22","0,04","0,01","0,02","0,29",T,Bueno
X,Sports,Electronic Arts,"0,22","0,06",0,"0,01","0,29",E,Bueno
PS3,Action,Sony Computer Entertainment,"0,18","0,05","0,03","0,03","0,29",T,Bueno
3DS,Action,Sega,"0,17","0,09",0,"0,03","0,29",E,Malo
PS3,Shooter,Ubisoft,"0,12","0,12",0,"0,05","0,29",M,Malo
X,Role-Playing,Ubisoft,"0,22","0,06",0,"0,01","0,29",T,Aceptable
PSP,Simulation,Namco Bandai Games,"0,06","0,05","0,15","0,03","0,29",T,Bueno
Wii,Sports,Take-Two Interactive,"0,26","0,01",0,"0,02","0,29",E10+,Aceptable
X360,Shooter,Codemasters,"0,23","0,04",0,"0,02","0,29",T,Malo
PS2,Misc,TDK Mediactive,"0,14","0,11",0,"0,04","0,29",E,Malo
Wii,Sports,Konami Digital Entertainment,"0,23",0,"0,04","0,02","0,29",E,Excelente
PS2,Role-Playing,Sega,"0,07","0,05","0,15","0,02","0,29",T,Excelente
PS2,Strategy,Tecmo Koei,"0,06","0,05","0,16","0,02","0,29",T,Bueno
PS3,Strategy,Activision,"0,1","0,14",0,"0,05","0,29",E,Malo
XOne,Action,Konami Digital Entertainment,"0,15","0,11",0,"0,02","0,29",M,Bueno
PC,Simulation,Electronic Arts,"0,01","0,24",0,"0,03","0,29",E,Excelente
X360,Role-Playing,Microsoft Game Studios,"0,19","0,08",0,"0,02","0,29",T,Aceptable
Wii,Puzzle,D3Publisher,"0,26",0,0,"0,02","0,29",E10+,Bueno
Wii,Action,Capcom,"0,06","0,01","0,2","0,01","0,29",T,Aceptable
PS2,Platform,Ubisoft,"0,14","0,11",0,"0,04","0,29",E,Bueno
DS,Puzzle,Sega,"0,17",0,"0,1","0,02","0,29",T,Bueno
PSP,Action,Tecmo Koei,"0,06",0,"0,22","0,01","0,29",T,Malo
PS2,Shooter,Midway Games,"0,14","0,11",0,"0,04","0,29",M,Excelente
Wii,Action,Capcom,"0,15","0,07","0,05","0,02","0,29",M,Aceptable
X360,Racing,Electronic Arts,"0,26",0,0,"0,02","0,29",E,Malo
GC,Platform,Vivendi Games,"0,22","0,06",0,"0,01","0,29",E,Aceptable
PS3,Adventure,Namco Bandai Games,"0,09","0,13","0,01","0,05","0,29",T,Bueno
WiiU,Action,Nintendo,"0,18",0,"0,09","0,02","0,29",E,Bueno
PC,Shooter,Wargaming.net,0,"0,23",0,"0,05","0,29",T,Excelente
X,Sports,Microsoft Game Studios,"0,21","0,06",0,"0,01","0,29",E,Excelente
WiiU,Action,Ubisoft,"0,17","0,09",0,"0,03","0,29",M,Excelente
GBA,Platform,Interplay,"0,2","0,08",0,"0,01","0,29",E,Bueno
GBA,Role-Playing,Nintendo,"0,08","0,03","0,17","0,01","0,29",E10+,Bueno
PS2,Racing,Ubisoft,"0,14","0,11",0,"0,04","0,28",E,Malo
GBA,Action,Atari,"0,2","0,08",0,"0,01","0,28",E10+,Aceptable
PC,Sports,Electronic Arts,0,"0,27",0,"0,02","0,28",E,Excelente
Wii,Fighting,Atari,"0,24","0,03",0,"0,02","0,28",T,Bueno
X,Action,Take-Two Interactive,"0,21","0,06",0,"0,01","0,28",M,Excelente
PS2,Role-Playing,Midway Games,"0,09","0,07","0,1","0,02","0,28",M,Bueno
PS2,Platform,Midway Games,"0,14","0,11",0,"0,04","0,28",T,Aceptable
X,Sports,Activision,"0,21","0,06",0,"0,01","0,28",T,Malo
PS2,Racing,Namco Bandai Games,"0,14","0,11",0,"0,04","0,28",T,Aceptable
PSP,Action,Spike,"0,07",0,"0,2","0,01","0,28",T,Aceptable
PS3,Action,Sega,"0,14","0,1",0,"0,05","0,28",E10+,Malo
PSV,Role-Playing,Square Enix,"0,06","0,1","0,08","0,05","0,28",E10+,Bueno
GC,Racing,Acclaim Entertainment,"0,22","0,06",0,"0,01","0,28",E,Aceptable
PSV,Action,Warner Bros. Interactive Entertainment,"0,09","0,13",0,"0,06","0,28",E10+,Malo
PS3,Misc,Sega,"0,08",0,"0,19","0,02","0,28",T,Bueno
X,Fighting,Electronic Arts,"0,21","0,06",0,"0,01","0,28",T,Malo
GBA,Role-Playing,Nintendo,0,0,"0,28","0,01","0,28",E10+,Excelente
PS2,Action,Capcom,"0,14","0,11",0,"0,04","0,28",T,Excelente
X360,Shooter,Rising Star Games,"0,15","0,06","0,05","0,02","0,28",T,Bueno
PS3,Action,Tecmo Koei,"0,1","0,03","0,14","0,02","0,28",T,Malo
X360,Action,Konami Digital Entertainment,"0,13","0,12",0,"0,03","0,28",M,Malo
X360,Simulation,Sega,"0,24",0,"0,01","0,02","0,28",T,Bueno
PS2,Action,Electronic Arts,"0,14","0,11",0,"0,04","0,28",E,Malo
X,Shooter,Midway Games,"0,22","0,05",0,"0,01","0,28",M,Excelente
X,Fighting,Microsoft Game Studios,"0,21","0,06",0,"0,01","0,28",T,Aceptable
DS,Action,Ubisoft,"0,15","0,11",0,"0,03","0,28",T,Aceptable
Wii,Action,Activision,"0,25","0,01",0,"0,02","0,28",E10+,Malo
PS2,Action,Empire Interactive,"0,14","0,11",0,"0,04","0,28",M,Malo
PSP,Adventure,Disney Interactive Studios,"0,25",0,0,"0,02","0,28",T,Malo
X360,Shooter,Codemasters,"0,1","0,14","0,01","0,03","0,28",M,Aceptable
X360,Action,Activision,"0,13","0,12",0,"0,03","0,28",T,Malo
DS,Sports,Ubisoft,"0,26",0,0,"0,02","0,28",E,Malo
PS2,Shooter,Sony Computer Entertainment,"0,14","0,11",0,"0,04","0,28",T,Aceptable
PS2,Platform,Atari,"0,14","0,11",0,"0,04","0,28",T,Aceptable
PSP,Sports,Sony Computer Entertainment,"0,26",0,0,"0,02","0,28",E,Excelente
PS2,Racing,Atari,"0,12","0,1","0,03","0,03","0,28",M,Aceptable
DS,Platform,Capcom,"0,16",0,"0,1","0,02","0,28",E,Bueno
PS2,Fighting,Eidos Interactive,"0,14","0,11",0,"0,04","0,28",M,Malo
Wii,Misc,Activision,"0,13","0,12",0,"0,03","0,28",T,Malo
PS,Fighting,Sony Computer Entertainment,"0,09","0,06","0,1","0,02","0,28",T,Excelente
PS3,Shooter,Namco Bandai Games,"0,1","0,12","0,02","0,05","0,28",M,Aceptable
PS2,Role-Playing,505 Games,"0,14","0,11",0,"0,04","0,28",T,Bueno
PS2,Sports,Midway Games,"0,14","0,11",0,"0,04","0,28",E,Bueno
PS3,Action,Ignition Entertainment,"0,11","0,06","0,08","0,03","0,28",T,Bueno
PS3,Sports,Activision,"0,18","0,06",0,"0,04","0,28",E,Malo
X,Sports,Electronic Arts,"0,21","0,06",0,"0,01","0,28",E,Excelente
X,Action,Konami Digital Entertainment,"0,21","0,06",0,"0,01","0,28",M,Excelente
PS2,Sports,THQ,"0,14","0,11",0,"0,04","0,28",E,Malo
PS2,Sports,Midway Games,"0,14","0,11",0,"0,04","0,28",E,Excelente
PC,Action,Bethesda Softworks,"0,1","0,16",0,"0,02","0,28",M,Aceptable
X360,Platform,Capcom,"0,12","0,12","0,01","0,03","0,28",M,Aceptable
X360,Misc,Electronic Arts,"0,16","0,09",0,"0,02","0,28",E,Aceptable
PS3,Action,Sony Computer Entertainment,"0,13","0,11",0,"0,04","0,28",E10+,Aceptable
GC,Misc,Sony Computer Entertainment,"0,21","0,06",0,"0,01","0,28",E,Malo
PS3,Misc,Electronic Arts,"0,12","0,11",0,"0,05","0,28",E,Aceptable
PS2,Shooter,Eidos Interactive,"0,05","0,04","0,17","0,01","0,28",T,Aceptable
X360,Sports,505 Games,"0,03","0,21",0,"0,04","0,28",E,Malo
XOne,Action,Activision,"0,2","0,05",0,"0,03","0,28",E10+,Bueno
X360,Strategy,Activision,"0,16","0,1",0,"0,02","0,28",E,Malo
X360,Fighting,Sega,"0,2","0,02","0,03","0,02","0,28",T,Excelente
PS2,Action,Activision,"0,11","0,01",0,"0,16","0,28",T,Malo
PS4,Action,Warner Bros. Interactive Entertainment,"0,04","0,2",0,"0,04","0,28",E10+,Bueno
X360,Misc,Konami Digital Entertainment,"0,26",0,0,"0,02","0,28",T,Malo
PS3,Action,Namco Bandai Games,"0,09","0,1","0,06","0,04","0,28",T,Bueno
Wii,Simulation,Destineer,"0,26",0,0,"0,02","0,28",T,Malo
GC,Sports,Acclaim Entertainment,"0,21","0,06",0,"0,01","0,28",T,Bueno
WiiU,Misc,Nintendo,"0,13","0,12",0,"0,02","0,28",E10+,Aceptable
X,Action,Activision,"0,21","0,06",0,"0,01","0,28",M,Aceptable
PS2,Sports,Acclaim Entertainment,"0,14","0,11",0,"0,04","0,28",T,Aceptable
Wii,Adventure,THQ,"0,23","0,02",0,"0,02","0,28",E10+,Malo
PS2,Adventure,Ubisoft,"0,14","0,11",0,"0,04","0,28",E,Malo
GBA,Platform,Konami Digital Entertainment,"0,2","0,07",0,0,"0,28",T,Excelente
DS,Role-Playing,Atlus,"0,13",0,"0,14","0,01","0,28",M,Excelente
PS3,Shooter,Electronic Arts,"0,11","0,11","0,01","0,05","0,28",M,Malo
PSP,Misc,Sony Computer Entertainment,"0,05","0,03","0,17","0,02","0,28",E,Bueno
Wii,Action,Activision,"0,11","0,14",0,"0,03","0,28",E10+,Bueno
XOne,Action,Electronic Arts,"0,16","0,09",0,"0,02","0,27",E,Aceptable
PS3,Misc,Activision,"0,14","0,09",0,"0,04","0,27",T,Malo
X,Fighting,Microsoft Game Studios,"0,21","0,06",0,"0,01","0,27",M,Aceptable
DS,Platform,Activision,"0,24","0,01",0,"0,02","0,27",E,Bueno
GC,Fighting,Atari,"0,21","0,06",0,"0,01","0,27",T,Aceptable
PS3,Action,Sony Computer Entertainment,0,"0,17","0,09","0,01","0,27",M,Bueno
X,Sports,Midway Games,"0,2","0,06",0,"0,01","0,27",E,Bueno
Wii,Action,Electronic Arts,"0,11","0,12","0,01","0,03","0,27",E10+,Aceptable
X360,Racing,Codemasters,"0,08","0,16",0,"0,03","0,27",E,Bueno
3DS,Action,Unknown,"0,16","0,09",0,"0,02","0,27",E,Aceptable
PS,Adventure,THQ,"0,15","0,1",0,"0,02","0,27",M,Malo
PS,Sports,Acclaim Entertainment,"0,15","0,1",0,"0,02","0,27",E,Aceptable
X360,Action,Capcom,"0,17","0,08",0,"0,02","0,27",M,Bueno
PS2,Sports,Sony Computer Entertainment,"0,13","0,1",0,"0,03","0,27",E,Aceptable
PS2,Racing,Codemasters,"0,13","0,1",0,"0,03","0,27",T,Excelente
GC,Role-Playing,Nintendo,"0,21","0,05",0,"0,01","0,27",T,Excelente
PSP,Action,Take-Two Interactive,"0,23","0,01",0,"0,02","0,27",M,Excelente
PSV,Role-Playing,Nippon Ichi Software,"0,11","0,05","0,07","0,03","0,27",T,Bueno
X360,Action,Sega,"0,15","0,09",0,"0,03","0,27",T,Malo
PS2,Action,Ubisoft,"0,13","0,1",0,"0,03","0,27",T,Aceptable
DS,Puzzle,Namco Bandai Games,"0,16",0,"0,1","0,01","0,27",E,Bueno
X,Racing,Microsoft Game Studios,"0,18","0,08",0,"0,01","0,27",E,Excelente
X360,Racing,Codemasters,"0,07","0,17",0,"0,02","0,27",E,Aceptable
PS2,Racing,Eidos Interactive,"0,13","0,1",0,"0,03","0,27",E,Aceptable
PC,Strategy,Atari,"0,01","0,22",0,"0,04","0,27",E,Excelente
X360,Sports,Electronic Arts,"0,25",0,0,"0,02","0,27",E10+,Bueno
GC,Platform,Electronic Arts,"0,21","0,05",0,"0,01","0,27",E,Aceptable
GBA,Fighting,THQ,"0,19","0,07",0,0,"0,27",E,Bueno
PS2,Role-Playing,Square Enix,"0,13","0,1",0,"0,03","0,27",T,Aceptable
X,Racing,Electronic Arts,"0,2","0,06",0,"0,01","0,27",E,Bueno
PS2,Shooter,THQ,"0,13","0,1",0,"0,03","0,27",M,Aceptable
X360,Shooter,Sega,"0,15","0,1",0,"0,02","0,27",M,Bueno
XOne,Action,Warner Bros. Interactive Entertainment,"0,13","0,12",0,"0,02","0,27",E10+,Aceptable
X360,Role-Playing,Square Enix,"0,15","0,08","0,01","0,02","0,27",T,Aceptable
X,Sports,Electronic Arts,"0,2","0,06",0,"0,01","0,27",E,Excelente
PS2,Action,Capcom,"0,13","0,1",0,"0,03","0,27",M,Bueno
PS3,Racing,Activision,"0,25",0,0,"0,02","0,27",E,Aceptable
Wii,Action,Activision,"0,14","0,1",0,"0,02","0,27",T,Malo
PS2,Action,Electronic Arts,"0,13","0,1",0,"0,03","0,27",E10+,Aceptable
PS4,Platform,Sony Computer Entertainment,"0,1","0,13",0,"0,04","0,27",E,Excelente
X360,Shooter,Activision,"0,24","0,01",0,"0,02","0,27",M,Bueno
PS2,Racing,THQ,"0,13","0,1",0,"0,03","0,27",T,Bueno
Wii,Sports,Take-Two Interactive,"0,23","0,02",0,"0,02","0,27",E10+,Aceptable
X,Action,Activision,"0,2","0,06",0,"0,01","0,27",T,Aceptable
3DS,Action,Warner Bros. Interactive Entertainment,"0,16","0,09",0,"0,02","0,27",T,Aceptable
PS3,Action,Electronic Arts,"0,11","0,09","0,04","0,03","0,27",M,Bueno
PS2,Racing,Namco Bandai Games,"0,06","0,05","0,14","0,02","0,27",E,Bueno
PC,Strategy,Ubisoft,"0,04","0,19",0,"0,04","0,27",T,Bueno
PS3,Misc,Konami Digital Entertainment,"0,25",0,0,"0,02","0,27",T,Malo
GC,Sports,Electronic Arts,"0,21","0,05",0,"0,01","0,27",E,Excelente
PS2,Racing,Acclaim Entertainment,"0,13","0,1",0,"0,03","0,27",E,Excelente
PS2,Shooter,BAM! Entertainment,"0,13","0,1",0,"0,03","0,27",M,Malo
PC,Strategy,Kalypso Media,"0,1","0,13",0,"0,04","0,27",T,Bueno
GC,Simulation,Electronic Arts,"0,21","0,05",0,"0,01","0,27",T,Aceptable
X360,Sports,Take-Two Interactive,"0,18","0,08",0,0,"0,27",E,Bueno
PS2,Simulation,Konami Digital Entertainment,"0,13","0,1",0,"0,03","0,27",T,Bueno
X,Sports,Electronic Arts,"0,2","0,06",0,"0,01","0,27",T,Bueno
PS2,Fighting,Namco Bandai Games,"0,13","0,1",0,"0,03","0,27",T,Malo
X360,Strategy,Ubisoft,"0,12","0,11",0,"0,02","0,27",T,Bueno
PS2,Strategy,Atari,"0,13","0,1",0,"0,03","0,27",E,Aceptable
X360,Sports,Ubisoft,"0,14","0,1",0,"0,03","0,27",E,Malo
PS3,Sports,Sony Computer Entertainment,"0,24",0,"0,01","0,02","0,27",E,Aceptable
X360,Shooter,Ubisoft,"0,14","0,1",0,"0,03","0,27",M,Malo
DS,Role-Playing,Konami Digital Entertainment,"0,09","0,02","0,15","0,01","0,27",E10+,Bueno
DS,Misc,Ubisoft,"0,24",0,0,"0,02","0,27",E,Malo
DS,Racing,Electronic Arts,"0,24","0,01",0,"0,02","0,27",E,Malo
X360,Shooter,SouthPeak Games,"0,15","0,09",0,"0,02","0,27",T,Aceptable
3DS,Role-Playing,FuRyu,"0,13","0,01","0,11","0,02","0,27",E10+,Aceptable
X,Sports,Sega,"0,2","0,06",0,"0,01","0,27",E,Excelente
PS3,Action,Activision,"0,12","0,1",0,"0,04","0,26",M,Malo
PS2,Misc,Pacific Century Cyber Works,"0,11","0,09","0,03","0,03","0,26",T,Malo
X360,Sports,Take-Two Interactive,"0,24",0,0,"0,02","0,26",E10+,Bueno
DS,Simulation,Majesco Entertainment,"0,24",0,0,"0,02","0,26",E,Malo
X360,Strategy,PopCap Games,"0,24",0,0,"0,02","0,26",E10+,Excelente
PS2,Action,Take-Two Interactive,"0,13","0,1",0,"0,03","0,26",M,Malo
PSP,Sports,Sony Computer Entertainment,"0,24",0,0,"0,02","0,26",E,Bueno
X360,Action,Sega,"0,22","0,02",0,"0,02","0,26",T,Malo
X,Shooter,Sega,"0,16","0,05","0,04","0,01","0,26",T,Excelente
DS,Simulation,Nintendo,"0,25",0,0,"0,02","0,26",E,Excelente
Wii,Racing,Nintendo,"0,24",0,0,"0,02","0,26",E,Bueno
X360,Action,Electronic Arts,"0,23","0,01",0,"0,02","0,26",T,Malo
PS4,Role-Playing,Namco Bandai Games,"0,11","0,11",0,"0,04","0,26",T,Aceptable
DS,Role-Playing,Atlus,"0,13",0,"0,12","0,01","0,26",T,Excelente
PS2,Sports,Midway Games,"0,13","0,1",0,"0,03","0,26",E10+,Malo
DS,Role-Playing,Atlus,"0,09",0,"0,16","0,01","0,26",E10+,Excelente
PS3,Action,Sega,"0,22","0,02",0,"0,02","0,26",T,Malo
X360,Action,Rising Star Games,"0,18","0,06",0,"0,02","0,26",M,Aceptable
WiiU,Action,Warner Bros. Interactive Entertainment,"0,13","0,1","0,01","0,02","0,26",E10+,Aceptable
PC,Action,Take-Two Interactive,"0,11","0,13",0,"0,02","0,26",M,Aceptable
PS3,Action,Ubisoft,"0,06","0,15",0,"0,05","0,26",E10+,Malo
PS2,Racing,Take-Two Interactive,"0,13","0,1",0,"0,03","0,26",E,Malo
PSP,Fighting,Namco Bandai Games,"0,11","0,03","0,09","0,03","0,26",T,Aceptable
3DS,Role-Playing,Atlus,"0,1","0,01","0,14","0,01","0,26",T,Excelente
XOne,Action,Namco Bandai Games,"0,15","0,09",0,"0,02","0,26",T,Bueno
GBA,Role-Playing,Nintendo,0,0,"0,26","0,01","0,26",E,Excelente
GC,Shooter,LucasArts,"0,2","0,05",0,"0,01","0,26",T,Aceptable
PS3,Action,Tecmo Koei,"0,04","0,04","0,16","0,02","0,26",T,Aceptable
X360,Action,Activision,"0,18","0,05",0,"0,02","0,26",E,Aceptable
PSP,Fighting,Namco Bandai Games,"0,26",0,0,0,"0,26",T,Aceptable
Wii,Sports,Take-Two Interactive,"0,24",0,0,"0,02","0,26",E,Aceptable
X360,Strategy,Eidos Interactive,"0,21","0,02",0,"0,02","0,26",T,Bueno
PS2,Racing,BAM! Entertainment,"0,13","0,1",0,"0,03","0,26",E,Malo
PS,Misc,Enix Corporation,"0,04","0,03","0,18","0,02","0,26",E,Aceptable
PS2,Simulation,Indie Games,"0,06","0,05","0,14","0,02","0,26",T,Bueno
PS2,Sports,Konami Digital Entertainment,"0,13","0,1",0,"0,03","0,26",T,Malo
X,Sports,TDK Mediactive,"0,19","0,06",0,"0,01","0,26",M,Bueno
GC,Adventure,Ubisoft,"0,2","0,05",0,"0,01","0,26",T,Aceptable
PC,Strategy,Take-Two Interactive,"0,1","0,14",0,"0,02","0,26",T,Excelente
PS3,Action,Activision,"0,2","0,04",0,"0,02","0,26",T,Aceptable
GC,Racing,Vivendi Games,"0,2","0,05",0,"0,01","0,26",E,Aceptable
PS2,Role-Playing,Eidos Interactive,"0,13","0,1",0,"0,03","0,26",T,Aceptable
X,Adventure,Electronic Arts,"0,19","0,06",0,"0,01","0,26",T,Excelente
PS2,Fighting,Ignition Entertainment,"0,13","0,1",0,"0,03","0,26",T,Aceptable
PS3,Role-Playing,Tecmo Koei,"0,06","0,04","0,14","0,02","0,26",T,Aceptable
PS2,Adventure,Sony Computer Entertainment,"0,13","0,1",0,"0,03","0,26",M,Bueno
PC,Simulation,Electronic Arts,"0,05","0,19",0,"0,02","0,26",T,Bueno
X360,Action,Capcom,"0,12","0,1","0,02","0,02","0,26",M,Bueno
X360,Sports,Activision,"0,17","0,06",0,"0,02","0,26",E,Malo
PS3,Action,Sony Computer Entertainment,0,0,"0,26",0,"0,26",T,Bueno
PS3,Platform,Sony Computer Entertainment Europe,"0,11","0,08","0,02","0,04","0,26",E10+,Excelente
X360,Shooter,Electronic Arts,"0,16","0,07",0,"0,02","0,26",M,Malo
PC,Strategy,Ubisoft,"0,02","0,22",0,"0,02","0,26",E10+,Bueno
DS,Action,Capcom,"0,11","0,02","0,11","0,01","0,26",M,Bueno
PS3,Action,Ubisoft,"0,2","0,03",0,"0,03","0,26",M,Bueno
X360,Shooter,Atari,"0,08","0,15",0,"0,03","0,26",M,Malo
DS,Platform,Ubisoft,"0,21","0,03",0,"0,02","0,26",E,Malo
X360,Action,Ubisoft,"0,2","0,03",0,"0,02","0,26",T,Excelente
DS,Misc,Nintendo,"0,21",0,"0,02","0,02","0,26",E,Bueno
X,Sports,Acclaim Entertainment,"0,19","0,06",0,"0,01","0,26",E,Bueno
PS2,Racing,Activision,"0,13","0,1",0,"0,03","0,26",E,Bueno
PS2,Sports,Sony Computer Entertainment,"0,13","0,1",0,"0,03","0,26",E,Malo
